date,epu
1946-05-31,0.0
1946-06-30,0.0
1946-07-31,0.02197802197802198
1946-08-31,0.03529411764705882
1946-09-30,0.022222222222222223
1946-10-31,0.0379746835443038
1946-11-30,0.020833333333333332
1946-12-31,0.025974025974025976
1947-01-31,0.0196078431372549
1947-02-28,0.05128205128205128
1947-03-31,0.025210084033613446
1947-04-30,0.04411764705882353
1947-05-31,0.056179775280898875
1947-06-30,0.022988505747126436
1947-07-31,0.0423728813559322
1947-08-31,0.017241379310344827
1947-09-30,0.04040404040404041
1947-10-31,0.0963855421686747
1947-11-30,0.045454545454545456
1947-12-31,0.0594059405940594
1948-01-31,0.07216494845360824
1948-02-29,0.06593406593406594
1948-03-31,0.05357142857142857
1948-04-30,0.033707865168539325
1948-05-31,0.07526881720430108
1948-06-30,0.04081632653061224
1948-07-31,0.0379746835443038
1948-08-31,0.0375
1948-09-30,0.05154639175257732
1948-10-31,0.06306306306306306
1948-11-30,0.07291666666666667
1948-12-31,0.06711409395973154
1949-01-31,0.14534883720930233
1949-02-28,0.07954545454545454
1949-03-31,0.04741379310344827
1949-04-30,0.046511627906976744
1949-05-31,0.047619047619047616
1949-06-30,0.03608247422680412
1949-07-31,0.06133333333333333
1949-08-31,0.052752293577981654
1949-09-30,0.035634743875278395
1949-10-31,0.042682926829268296
1949-11-30,0.05142857142857143
1949-12-31,0.09574468085106383
1950-01-31,0.06741573033707865
1950-02-28,0.05211726384364821
1950-03-31,0.05263157894736842
1950-04-30,0.07714285714285714
1950-05-31,0.0749185667752443
1950-06-30,0.07894736842105263
1950-07-31,0.050793650793650794
1950-08-31,0.08552631578947369
1950-09-30,0.0830188679245283
1950-10-31,0.04395604395604396
1950-11-30,0.05818181818181818
1950-12-31,0.04609929078014184
1951-01-31,0.04487179487179487
1951-02-28,0.036885245901639344
1951-03-31,0.02464788732394366
1951-04-30,0.05726872246696035
1951-05-31,0.022556390977443608
1951-06-30,0.03501945525291829
1951-07-31,0.06130268199233716
1951-08-31,0.07174887892376682
1951-09-30,0.061946902654867256
1951-10-31,0.048327137546468404
1951-11-30,0.047619047619047616
1951-12-31,0.05928853754940711
1952-01-31,0.06698564593301436
1952-02-29,0.05862068965517241
1952-03-31,0.02973977695167286
1952-04-30,0.04929577464788732
1952-05-31,0.021834061135371178
1952-06-30,0.07112970711297072
1952-07-31,0.04924242424242424
1952-08-31,0.03322259136212625
1952-09-30,0.041379310344827586
1952-10-31,0.05519480519480519
1952-11-30,0.04395604395604396
1952-12-31,0.0664819944598338
1953-01-31,0.05808080808080808
1953-02-28,0.04633204633204633
1953-03-31,0.04924242424242424
1953-04-30,0.061488673139158574
1953-05-31,0.07612456747404844
1953-06-30,0.06164383561643835
1953-07-31,0.05964912280701754
1953-08-31,0.050724637681159424
1953-09-30,0.049689440993788817
1953-10-31,0.0658682634730539
1953-11-30,0.0657439446366782
1953-12-31,0.07023411371237458
1954-01-31,0.033003300330033
1954-02-28,0.05138339920948617
1954-03-31,0.06097560975609756
1954-04-30,0.06538461538461539
1954-05-31,0.05078125
1954-06-30,0.03802281368821293
1954-07-31,0.029900332225913623
1954-08-31,0.027777777777777776
1954-09-30,0.06818181818181818
1954-10-31,0.03880597014925373
1954-11-30,0.05536332179930796
1954-12-31,0.053231939163498096
1955-01-31,0.05090909090909091
1955-02-28,0.05416666666666667
1955-03-31,0.0641025641025641
1955-04-30,0.05214723926380368
1955-05-31,0.025889967637540454
1955-06-30,0.05952380952380952
1955-07-31,0.07516339869281045
1955-08-31,0.04946996466431095
1955-09-30,0.03858520900321544
1955-10-31,0.049019607843137254
1955-11-30,0.0657439446366782
1955-12-31,0.04361370716510903
1956-01-31,0.04263565891472868
1956-02-29,0.06666666666666667
1956-03-31,0.03676470588235294
1956-04-30,0.023809523809523808
1956-05-31,0.006779661016949152
1956-06-30,0.03773584905660377
1956-07-31,0.03711790393013101
1956-08-31,0.025974025974025976
1956-09-30,0.07621247113163972
1956-10-31,0.03418803418803419
1956-11-30,0.039660056657223795
1956-12-31,0.05034324942791762
1957-01-31,0.026748971193415638
1957-02-28,0.035211267605633804
1957-03-31,0.04597701149425287
1957-04-30,0.05191256830601093
1957-05-31,0.0681198910081744
1957-06-30,0.06832298136645963
1957-07-31,0.09130434782608696
1957-08-31,0.040625
1957-09-30,0.04065040650406504
1957-10-31,0.04945054945054945
1957-11-30,0.058823529411764705
1957-12-31,0.03054989816700611
1958-01-31,0.04212860310421286
1958-02-28,0.05622489959839357
1958-03-31,0.04054054054054054
1958-04-30,0.038135593220338986
1958-05-31,0.03836930455635491
1958-06-30,0.04032258064516129
1958-07-31,0.024691358024691357
1958-08-31,0.037333333333333336
1958-09-30,0.033962264150943396
1958-10-31,0.018461538461538463
1958-11-30,0.02531645569620253
1958-12-31,0.017543859649122806
1959-01-31,0.03636363636363636
1959-02-28,0.052770448548812667
1959-03-31,0.03931203931203931
1959-04-30,0.03929273084479371
1959-05-31,0.033962264150943396
1959-06-30,0.029490616621983913
1959-07-31,0.024330900243309004
1959-08-31,0.05641025641025641
1959-09-30,0.04066985645933014
1959-10-31,0.04040404040404041
1959-11-30,0.03944315545243619
1959-12-31,0.035629453681710214
1960-01-31,0.03787878787878788
1960-02-29,0.028368794326241134
1960-03-31,0.027253668763102725
1960-04-30,0.027586206896551724
1960-05-31,0.02903225806451613
1960-06-30,0.020477815699658702
1960-07-31,0.025495750708215296
1960-08-31,0.038348082595870206
1960-09-30,0.013850415512465374
1960-10-31,0.019444444444444445
1960-11-30,0.038636363636363635
1960-12-31,0.04081632653061224
