股票代码,会计年度,行业代码,信息含量
000407,2020.0,D45,-0.16806861314621363
000408,2020.0,C26,-0.24862669289260436
000410,2020.0,C34,-0.27294690350054596
000411,2020.0,F51,-0.2418166837663568
000413,2020.0,C39,-0.2150365382440556
000416,2020.0,J69,-0.13759865030335527
000417,2020.0,F52,-0.2712903133417218
000420,2020.0,C28,-0.2955945518113862
000421,2020.0,D45,-0.1512912180219188
000422,2020.0,C26,-0.23822751056194647
000423,2020.0,C27,-0.18732272784647735
000425,2020.0,C35,-0.27266998765546374
000426,2020.0,B09,-0.28459169902519044
000429,2020.0,G54,-0.20282465431247962
000488,2020.0,C22,-0.18336401686196702
000498,2020.0,E48,-0.2554976837781064
000501,2020.0,F52,-0.22701608376418367
000502,2020.0,K70,-0.125096868072349
000503,2020.0,I64,-0.18027050299909025
000505,2020.0,C13,-0.2238639395879092
000506,2020.0,B09,-0.2581317664133021
000507,2020.0,G55,-0.26256470029075113
000509,2020.0,C29,-0.16693785674552275
000510,2020.0,C26,-0.31553133010503953
000514,2020.0,K70,-0.29732718629756183
000517,2020.0,K70,-0.3051918164873949
000518,2020.0,C27,-0.2859250908982504
000519,2020.0,C35,-0.1922616088661057
000520,2020.0,G55,-0.1820127378497305
000521,2020.0,C38,-0.16679452863814515
000523,2020.0,C26,-0.372867337692884
000525,2020.0,C26,-0.27069160527426317
000528,2020.0,C35,-0.2537172062158277
000529,2020.0,C13,-0.2849630420782478
000530,2020.0,C34,-0.23721617787800772
000531,2020.0,D44,-0.2808025445617146
000533,2020.0,C38,-0.2501855226235136
000534,2020.0,C27,-0.2404255816071619
000536,2020.0,C39,-0.2877331479926761
000537,2020.0,K70,-0.2321693107262558
000538,2020.0,C27,-0.30861356874154966
000539,2020.0,D44,-0.23231089174750508
000540,2020.0,K70,-0.2520809549820441
000541,2020.0,C38,-0.33527665200573836
000543,2020.0,D44,-0.2135586259202295
000545,2020.0,C26,-0.24501879045564798
000546,2020.0,N77,-0.26254853572728426
000547,2020.0,C39,-0.3224419209868733
000548,2020.0,G54,-0.20666442244173483
000550,2020.0,C36,-0.33047374951949754
000552,2020.0,B06,-0.34847631837338044
000553,2020.0,C26,-0.18347559828687982
000554,2020.0,F51,-0.24584933561796285
000555,2020.0,I65,-0.3656834981336775
000558,2020.0,K70,-0.25558635568010757
000559,2020.0,C36,-0.1690833670228969
000560,2020.0,K70,-0.26522964970483065
000561,2020.0,C39,-0.1610751496701187
000563,2020.0,J69,-0.2700927998347885
000564,2020.0,F52,-0.2798517714409612
000565,2020.0,C26,-0.22568656480731597
000566,2020.0,C27,-0.1473580941415874
000567,2020.0,J69,-0.25661912366596296
000568,2020.0,C15,-0.28003479997187264
000570,2020.0,C34,-0.2746521777161396
000572,2020.0,C36,-0.2152431686984921
000573,2020.0,K70,-0.3262654027100348
000576,2020.0,C35,-0.17299771363705468
000581,2020.0,C36,-0.14350716241758762
000582,2020.0,G55,-0.16935421098805714
000584,2020.0,C35,-0.1608128244982835
000585,2020.0,C38,-0.19898187312336785
000586,2020.0,C39,-0.2203486726707392
000587,2020.0,C41,-0.19375588009299521
000589,2020.0,C29,-0.24046658758766998
000590,2020.0,C27,-0.24753684024748956
000591,2020.0,D44,-0.3303262808847538
000593,2020.0,D45,-0.29576534485992584
000595,2020.0,C34,-0.4206287262868674
000596,2020.0,C15,-0.26463976657482435
000597,2020.0,C27,-0.2818739483397448
000599,2020.0,C29,-0.21325175340870398
000600,2020.0,D44,-0.3337351576415572
000601,2020.0,D44,-0.21783704319804942
000603,2020.0,B09,-0.23343132525590982
000606,2020.0,I64,-0.26694845878290085
000607,2020.0,R85,-0.2437213905616152
000608,2020.0,K70,-0.24534920044587719
000611,2020.0,C17,-0.047233563603219925
000612,2020.0,C32,-0.336341890197005
000615,2020.0,K70,-0.23825113134246417
000616,2020.0,K70,-0.21977821986792884
000617,2020.0,J67,-0.2891356993929445
000620,2020.0,K70,-0.27749435732956235
000622,2020.0,C35,-0.2071777132988893
000623,2020.0,C27,-0.21306432819280438
000625,2020.0,C36,-0.1766842841351699
000626,2020.0,F51,-0.2814803474172526
000629,2020.0,C32,-0.34361410893583016
000630,2020.0,C32,-0.21309066598929866
000631,2020.0,K70,-0.2531762620340396
000632,2020.0,F51,-0.18417278777908036
000633,2020.0,C32,-0.23257030125917388
000635,2020.0,C26,-0.22146473366534153
000636,2020.0,C39,-0.3558700346828765
000638,2020.0,I65,-0.23615118034503463
000639,2020.0,C13,-0.24428141020449956
000650,2020.0,C27,-0.20419438481563557
000651,2020.0,C38,-0.17072878469446368
000652,2020.0,F51,-0.14277440018120247
000656,2020.0,K70,-0.3239514200013933
000657,2020.0,C32,-0.2361467843162681
000659,2020.0,C29,-0.24321470299119563
000661,2020.0,C27,-0.30065559223541277
000663,2020.0,C21,-0.13714601365763096
000665,2020.0,R86,-0.3320993945302201
000666,2020.0,J67,-0.273717790112034
000667,2020.0,K70,-0.20166440005970437
000668,2020.0,K70,-0.21898854627637723
000669,2020.0,D45,-0.17649172346293363
000670,2020.0,C39,-0.2111385607092408
000671,2020.0,K70,-0.2308325726988381
